category_name,category_thumbnail,category_parent_id,category_type,category_description,category_is_delete
Bênh người cao tuổi,https://prod-cdn.pharmacity.io/blog/NguoiCaoTuoi.png,,disease_by_target_group,"Người cao tuổi thường đối mặt với nhiều vấn đề sức khỏe đặc thù do quá trình lão hóa. Làm sao để nhận biết sớm và quản lý các bệnh lý phổ biến ở người cao tuổi, những phương pháp chăm sóc và phòng ngừa hiệu quả là gì? Tìm hiểu thêm tại đây.",0
Bệnh nam giới,https://prod-cdn.pharmacity.io/blog/NguoiCaoTuoi.png,,disease_by_target_group,"Bệnh nam giới bao gồm các vấn đề sức khỏe đặc trưng và quan trọng đối với phái mạnh. Làm sao để nhận biết sớm các triệu chứng, nguyên nhân gây bệnh, và các phương pháp điều trị hiệu quả cho các bệnh thường gặp ở nam giới? Tìm hiểu thêm tại đây.",0
Bệnh nữ giới,https://prod-cdn.pharmacity.io/blog/Women.png,,disease_by_target_group,"Bệnh nữ giới là một phần quan trọng của sức khỏe phụ nữ, ảnh hưởng đến chất lượng cuộc sống và sức khỏe tổng thể. Làm sao để nhận biết các triệu chứng sớm, đâu là những bệnh lý thường gặp ở phụ nữ, và các biện pháp phòng ngừa, điều trị hiệu quả? Tìm hiểu thêm tại đây",0
Bệnh trẻ em,https://prod-cdn.pharmacity.io/blog/Women.png,,disease_by_target_group,"Bài viết cung cấp thông tin chi tiết về các bệnh lý thường gặp ở trẻ em, từ nguyên nhân, triệu chứng đến phương pháp điều trị. Tìm hiểu các bí quyết chăm sóc sức khỏe cho trẻ em để bảo vệ và giúp bé phát triển khỏe mạnh.",0
Bênh tuổi dậy thì,https://prod-cdn.pharmacity.io/blog/TuoiDayThi.png,,disease_by_target_group,"Tuổi dậy thì là giai đoạn phát triển quan trọng, có thể gặp nhiều vấn đề sức khỏe đặc thù. Làm sao để nhận biết và phòng ngừa các bệnh thường gặp ở tuổi dậy thì? Những biện pháp nào giúp bảo vệ sức khỏe cho tuổi teen một cách hiệu quả nhất? Tìm hiểu thêm tại đây.",0
Bệnh phụ nữ mang thai,https://prod-cdn.pharmacity.io/blog/MangThai.png,,disease_by_target_group,"Phụ nữ mang thai cần được chăm sóc đặc biệt để đảm bảo sức khỏe cho cả mẹ và bé. Làm sao để nhận biết và phòng ngừa các bệnh thường gặp trong thai kỳ, đâu là những biện pháp chăm sóc sức khỏe hiệu quả cho phụ nữ mang thai? Tìm hiểu thêm tại đây.",0
Đầu,https://prod-cdn.pharmacity.io/blog/Head.png,,disease_body_part,"Bệnh về đầu ảnh hưởng đến nhiều khía cạnh của sức khỏe, từ đau đầu, chóng mặt đến các vấn đề nghiêm trọng như đột quỵ. Làm sao để nhận biết triệu chứng sớm, phòng ngừa hiệu quả và điều trị đúng cách? Khám phá các thông tin hữu ích về bệnh về đầu và cách chăm sóc sức khỏe của bạn tại đây.",0
Tai Mũi Họng,https://prod-cdn.pharmacity.io/blog/Ear-nose-lips.png,,disease_body_part,"Tai mũi họng là một phần quan trọng của hệ hô hấp, giúp chúng ta thở, ngửi, nghe và nói. Làm thế nào để giữ tai mũi họng luôn khỏe mạnh, nhận biết các triệu chứng và phương pháp điều trị hiệu quả cho các bệnh lý phổ biến? Khám phá thêm về chăm sóc sức khỏe tai mũi họng tại đây.",0
Ngực,https://prod-cdn.pharmacity.io/blog/Belly.png,,disease_body_part,"Bệnh về ngực ảnh hưởng trực tiếp đến hệ hô hấp và tim mạch, đóng vai trò quan trọng trong việc duy trì sức khỏe tổng thể. Làm sao để nhận biết và phòng ngừa các bệnh về ngực hiệu quả? Đâu là những triệu chứng và phương pháp điều trị phổ biến? Tìm hiểu thêm tại đây.",0
Cổ vai gáy,https://prod-cdn.pharmacity.io/blog/Shoulder.png,,disease_body_part,"Làm sao để giữ cổ luôn khỏe mạnh, đâu là những bệnh lý thường gặp ở vùng cổ vai gáy, và các biện pháp phòng ngừa, điều trị hiệu quả là gì? Tìm hiểu thêm tại đây.",0
Da,https://prod-cdn.pharmacity.io/blog/Skin-1-300x300-1.png,,disease_body_part,"Bệnh về da ảnh hưởng đến vẻ ngoài và sức khỏe tổng thể của bạn. Làm sao để nhận biết và phòng ngừa các bệnh da liễu phổ biến, đâu là các phương pháp điều trị hiệu quả nhất và những thói quen hàng ngày giúp duy trì làn da khỏe mạnh? Tìm hiểu thêm tại đây.",0
Sinh dục,https://prod-cdn.pharmacity.io/blog/XY-300x300-1.png,,disease_body_part,"Bệnh sinh dục ảnh hưởng lớn đến sức khỏe và chất lượng cuộc sống của cả nam và nữ. Làm thế nào để nhận biết sớm các triệu chứng, phòng ngừa và điều trị hiệu quả các bệnh sinh dục phổ biến? Tìm hiểu thêm về cách bảo vệ sức khỏe sinh sản của bạn tại đây.",0
Tứ chi,https://prod-cdn.pharmacity.io/blog/Hand-foot-new.png,,disease_body_part,"Bệnh tứ chi ảnh hưởng đến tay và chân, gây khó khăn trong sinh hoạt và vận động hàng ngày. Làm sao để nhận biết các triệu chứng và phòng ngừa các bệnh lý liên quan đến tứ chi? Những phương pháp điều trị hiệu quả giúp duy trì sức khỏe cho tay và chân là gì? Tìm hiểu thêm tại đây.",0
Bệnh hô hấp,,,disease_specialty,,0
Bệnh thận - Tiết niệu,,,disease_specialty,,0
Bệnh tâm lí - Tâm thần,,,disease_specialty,,0
Bệnh tai mũi họng,,,disease_specialty,,0
Sức khỏe sinh sản,,,disease_specialty,,0
Sức khỏe giới tính,,,disease_specialty,,0
Bệnh nội tiết - Chuyển hóa,,,disease_specialty,,0
Bệnh về máu,,,disease_specialty,,0
Bệnh về mắt,,,disease_specialty,,0
Bệnh thần kinh,,,disease_specialty,,0
Bệnh dị ứng,,,disease_specialty,,0
Bệnh về da,,,disease_specialty,,0
Bệnh cơ xương khớp,,,disease_specialty,,0
Bệnh răng hàm mặt,,,disease_specialty,,0
Ung thư,,,disease_specialty,,0
Bênh truyền nhiễm,,,disease_specialty,,0
Bệnh tiêu hóa,,,disease_specialty,,0
